conferenceID,conferenceRef,name,year,edition,conProIds,proceedingTitle
c105,195401.0,"12th International Symposium on Information and Communication Technology, SOICT 2023",2023.0,1.0,cp105,proceeding105
c106,196221.0,"5th ACM International Conference on Multimedia in Asia, MMAsia 2023 Workshops",2023.0,1.0,cp106,proceeding106
c107,195682.0,"1st International Conference on Applied Data Science and Smart Systems, ADSSS 2022",2022.0,1.0,cp107,proceeding107
c108,196217.0,"5th ACM International Conference on Multimedia in Asia, MMAsia 2023",2023.0,1.0,cp108,proceeding108
c109,195251.0,"11th Conference on Human-Agent Interaction, HAI 2023",2023.0,1.0,cp109,proceeding109
c110,195276.0,"4th Tarumanagara International Conference of the Applications of Technology and Engineering, TICATE 2021",2021.0,1.0,cp110,proceeding110
c111,195225.0,"39th Annual Computer Security Applications Conference, ACSAC 2023",2023.0,1.0,cp111,proceeding111
c112,195565.0,"8th International Technical Conference on Frontiers of Hydraulic and Civil Engineering Technology, HCET 2023",2023.0,1.0,cp112,proceeding112
c113,195310.0,"18th International Symposium on Parameterized and Exact Computation, IPEC 2023",2023.0,1.0,cp113,proceeding113
c114,194733.0,"34th International Symposium on Algorithms and Computation, ISAAC 2023",2023.0,1.0,cp114,proceeding114
c115,195093.0,"31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering, ESEC/FSE 2023",2023.0,1.0,cp115,proceeding115
c116,194860.0,"2023 SIGGRAPH Asia 2023 Technical Communications, SA Technical Communications 2023",2023.0,1.0,cp116,proceeding116
c117,194757.0,"22nd ACM Workshop on Hot Topics in Networks, HotNets 2023",2023.0,1.0,cp117,proceeding117
c118,195580.0,"3rd International Conference on Artificial Intelligence, Big Data and Algorithms, CAIBDA 2023",2023.0,1.0,cp118,proceeding118
c119,194767.0,"2023 Workshop on Decentralized Finance and Security, DeFi 2023",2023.0,1.0,cp119,proceeding119
c120,194865.0,"11th International ACM SIGIR Conference on Research and Development in Information Retrieval in the Asia Pacific Region, SIGIR-AP 2023",2023.0,1.0,cp120,proceeding120
c121,194781.0,"1st International Conference on Contemporary Innovations in Mechanical Engineering, CIME 2022",2022.0,1.0,cp121,proceeding121
c122,194775.0,"2021 International Conference on Emerging Trends in Materials, Computing and Communication Technologies, ICETMCCT 2021",2021.0,1.0,cp122,proceeding122
c123,194676.0,"10th ACM Workshop on Moving Target Defense, MTD 2023",2023.0,1.0,cp123,proceeding123
c124,194764.0,"30th ACM SIGSAC Conference on Computer and Communications Security, CCS 2023",2023.0,1.0,cp124,proceeding124
c125,197101.0,"2023 International Conference on Electronics, Computers and Communication Technology, CECCT 2023",2023.0,1.0,cp125,proceeding125
c126,196216.0,"31st ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL GIS 2023",2023.0,1.0,cp126,proceeding126
c127,194664.0,"2023 International Conference for High Performance Computing, Networking, Storage and Analysis, SC 2023",2023.0,1.0,cp127,proceeding127
c128,194502.0,"International Conference on Engineering Research and Application 2022, ICERA 2022",2022.0,1.0,cp128,proceeding128
c129,194705.0,"6th ACM SIGSPATIAL International Workshop on AI for Geographic Knowledge Discovery, GeoAI 2023",2023.0,1.0,cp129,proceeding129
c130,194515.0,"8th ACM SIGSPATIAL International Workshop on Security Response using GIS, EM-GIS 2023",2023.0,1.0,cp130,proceeding130
c131,194484.0,"4th International Conference on Material Science and Applications, ICMSA 2021",2021.0,1.0,cp131,proceeding131
c132,194341.0,"2023 International Conference on High Performance Computing, Network, Storage, and Analysis, SC Workshops 2023",2023.0,1.0,cp132,proceeding132
c133,195645.0,"1st ACM SIGSPATIAL International Workshop on Sustainable Mobility, SuMob 2023",2023.0,1.0,cp133,proceeding133
c134,193960.0,"4th Multimodal Sentiment Analysis Challenge and Workshop, MuSe 2023, In conjunction with ACM Multimedia 2023",2023.0,1.0,cp134,proceeding134
c135,195110.0,"1st Workshop on Large Generative Models Meet Multimodal Applications, LGM3A 2023",2023.0,1.0,cp135,proceeding135
c136,194024.0,"2023 International Conference on Clean Energy and Low Carbon Technologies, CELCT 2023",2023.0,1.0,cp136,proceeding136
c137,194357.0,"2022 International Conference on Recent Advances in Industry 4.0 Technologies, ICRAIT 2022",2022.0,1.0,cp137,proceeding137
c138,194516.0,"1st 2022 International Conference on Sustainable Environment, Development, and Energy,CONSER 2022",2022.0,1.0,cp138,proceeding138
c139,194354.0,"9th International Conference on Actual Problems of Engineering Mechanics, APEM 2022",2022.0,1.0,cp139,proceeding139
c140,194105.0,"31st ACM International Conference on Multimedia, MM 2023",2023.0,1.0,cp140,proceeding140
c141,194216.0,"36th Annual ACM Symposium on User Interface Software and Technology, UIST 2023",2023.0,1.0,cp141,proceeding141
c142,195480.0,"56th Annual IEEE/ACM International Symposium on Microarchitecture, MICRO 2023",2023.0,1.0,cp142,proceeding142
c143,194244.0,"SAE 2023 Energy and Propulsion Conference and Exhibition (formerly called Powertrains, Fuels and Lubricants Conference and Exhibition), FFL 2023",2023.0,1.0,cp143,proceeding143
c144,194021.0,"2023 8th International Conference on Ecological Building and Green Building Material, EBGBM 2023",2023.0,1.0,cp144,proceeding144
c145,194214.0,"36th Annual ACM Symposium on User Interface Software and Technology, UIST 2023",2023.0,2.0,cp145,proceeding145
c146,194247.0,"SAE 2023 Vehicle Powertrain Diversification Technology Forum, VEPD 2023",2023.0,1.0,cp146,proceeding146
c147,196451.0,"2nd International Conference on Digitalization and Management Innovation: Build a New Ecology of Lifelong Education, DMI 2023",2023.0,1.0,cp147,proceeding147
c148,193843.0,"29th ACM Symposium on Operating Systems Principles, SOSP 2023",2023.0,1.0,cp148,proceeding148
c149,193606.0,"2023 International Symposium on Theory, Algorithmic Foundations, and Protocol Design for Mobile Networks and Mobile Computing, MobiHoc 2023",2023.0,1.0,cp149,proceeding149
c150,194142.0,"23rd Edition of the ACM Internet Measurement Conference, IMC 2023",2023.0,1.0,cp150,proceeding150
c151,194020.0,"4th International Conference on Air Pollution and Environmental Engineering, APEE 2023",2023.0,1.0,cp151,proceeding151
c152,196184.0,"7th International Conference on Computer Science and Application Engineering, CSAE 2023",2023.0,1.0,cp152,proceeding152
c153,193792.0,"32nd ACM International Conference on Information and Knowledge Management, CIKM 2023",2023.0,1.0,cp153,proceeding153
c154,193625.0,"9th International Conference on Advances in Machinery, Materials Science and Engineering Applications, MMSE 2023",2023.0,1.0,cp154,proceeding154
c155,196943.0,5th International Conference on Big-data Service and Intelligent Computation,2023.0,1.0,cp155,proceeding155
c156,193523.0,"11th International Scientific and Practical Conference on Innovative Technologies in Environmental Science and Education, ITSE 2023",2023.0,1.0,cp156,proceeding156
c157,193616.0,"2023 ACM Symposium on Spatial User Interaction, SUI 2023",2023.0,1.0,cp157,proceeding157
c158,193624.0,"4th International Conference on Green Energy, Environment and Sustainable Development, GEESD 2023",2023.0,1.0,cp158,proceeding158
c159,193433.0,"2023 ACM International Joint Conference on Pervasive and Ubiquitous Computing and the 2023 ACM International Symposium on Wearable Computing, UbiComp/ISWC 2023",2023.0,1.0,cp159,proceeding159
c160,193310.0,"15th International Conference on Materials Processing and Characterization, ICMPC 2023",2023.0,1.0,cp160,proceeding160
c161,193965.0,"2023 Workshop on LEO Networking and Communication, LEO-NET 2023",2023.0,1.0,cp161,proceeding161
c162,193597.0,"19th AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment, AIIDE 2023",2023.0,1.0,cp162,proceeding162
c163,193336.0,"2nd International Symposium on Civil, Environmental, and Infrastructure Engineering, ISCEIE 2022",2022.0,1.0,cp163,proceeding163
c164,193303.0,"25th International Conference on Multimodal Interaction, ICMI 2023",2023.0,1.0,cp164,proceeding164
c165,193306.0,"25th International Conference on Multimodal Interaction, ICMI 2023 Companion",2023.0,1.0,cp165,proceeding165
c166,193333.0,"1st International Conference on Advances in Communications, Computing and Electronic Systems, ACCES 2022",2022.0,1.0,cp166,proceeding166
c167,193052.0,"26th European Conference on Artificial Intelligence, ECAI 2023",2023.0,1.0,cp167,proceeding167
c168,193491.0,Young Transportation Engineers Conference 2022,2022.0,1.0,cp168,proceeding168
