authorID,authorRef,Name
a773,57224995605,Sharrett R.
a774,56823700100,Cotch M.F.
a775,58895600800,Wong T.Y.
a776,6603974160,Luchsinger J.A.
a777,35236499700,Espeland M.A.
a778,7402021766,Baker L.D.
a779,57014684500,Bertoni A.G.
a780,57194504448,Hughes T.M.
a781,58891520000,Haiyan G.
a782,58891068700,Peng W.
a783,58892202100,Tam T.
a784,7202888704,Scholz M.
a785,7201589381,Horn K.
a786,57193530231,Pott J.
a787,35326069100,Wuttke M.
a788,57189471205,Kühnapfel A.
a789,58790223600,Nasr M.K.
a790,57208462713,Kirsten H.
a791,56544816800,Li Y.
a792,57189033413,Hoppmann A.
a793,57221794060,Gorski M.
a794,57204191548,Ghasemi S.
a795,57213544486,Li M.
a796,24342527900,Tin A.
a797,57200637574,Chai J.-F.
a798,51763347100,Cocca M.
a799,56032541100,Wang J.
a800,57222595197,Nutile T.
a801,57191843287,Akiyama M.
a802,57739330800,Åsvold B.O.
a803,55558568400,Bansal N.
a804,57533631600,Biggs M.L.
a805,57207923360,Boutin T.
a806,57216427807,Brenner H.
a807,58299030900,Brumpton B.
a808,12773987000,Burkhardt R.
a809,7403153136,Cai J.
a810,19642129200,Campbell A.
a811,57540525300,Campbell H.
a812,57218643943,Chalmers J.
a813,6701612213,Chasman D.I.
a814,57211361781,Chee M.L.
a815,57195338207,Chee M.L.
a816,58743137000,Chen X.
a817,55539712500,Cheng C.-Y.
a818,57195520322,Cifkova R.
a819,57203251079,Daviglus M.
a820,57221723771,Delgado G.
a821,7006186686,Dittrich K.
a822,57855755600,Edwards T.L.
a823,57203952994,Endlich K.
a824,57218896692,Michael Gaziano J.
a825,54406856100,Giri A.
a826,8042182200,Giulianini F.
a827,56884953600,Gordon S.D.
a828,6602358994,Gudbjartsson D.F.
a829,6701493027,Hallan S.
a830,35370402400,Hamet P.
a831,57221325733,Hartman C.A.
a832,35369845200,Hayward C.
a833,6602566084,Heid I.M.
a834,55171129800,Hellwege J.N.
a835,18535786100,Holleczek B.
a836,57205701841,Holm H.
a837,6603582807,Hutri-Kähönen N.
a838,57220002352,Hveem K.
a839,6603064657,Isermann B.
a840,57215380211,Jonas J.B.
a841,57216109700,Joshi P.K.
a842,57853165100,Kamatani Y.
a843,56666893900,Kanai M.
a844,6602537263,Kastarinen M.
a845,57222520416,Khor C.C.
a846,7102422024,Kiess W.
a847,57207897615,Kleber M.E.
a848,57211912893,Körner A.
a849,55728560000,Kovacs P.
a850,36015426500,Krajcoviechova A.
a851,56234111300,Kramer H.
a852,26643639900,Krämer B.K.
a853,8662580700,Kuokkanen M.
a854,58550541400,Kähönen M.
a855,7103078524,Lange L.A.
a856,7005726104,Lash J.P.
a857,58584595800,Lehtimäki T.
a858,57220586034,Li H.
a859,57209475418,Lin B.M.
a860,57555731100,Liu J.
a861,7006855292,Loeffler M.
a862,57200872624,Lyytikäinen L.-P.
a863,24756281600,Magnusson P.K.E.
a864,57216717619,Martin N.G.
a865,58760237000,Matsuda K.
a866,57201570703,Milaneschi Y.
a867,57204621363,Mishra P.P.
a868,57194222481,Mononen N.
a869,58766876500,Montgomery G.W.
a870,57208233149,Mook-Kanamori D.O.
a871,6603325445,Mychaleckyj J.C.
a872,57220605236,März W.
a873,57206034720,Nauck M.
a874,6603413494,Nikus K.
a875,7102054770,Nolte I.M.
a876,57201961693,Noordam R.
a877,7005443464,Okada Y.
a878,6603690827,Olafsson I.
a879,6701347101,Oldehinkel A.J.
a880,58039593600,Penninx B.W.J.H.
a881,57218701932,Perola M.
a882,57202034309,Pirastu N.
a883,8232027400,Polasek O.
a884,7006940003,Porteous D.J.
a885,57190578138,Poulain T.
a886,57024554000,Psaty B.M.
a887,55897548800,Rabelink T.J.
a888,55769881800,Raffield L.M.
a889,7004828916,Raitakari O.T.
a890,54988048100,Rasheed H.
a891,56245693900,Reilly D.F.
a892,57216591178,Rice K.M.
a893,57219824548,Richmond A.
a894,58087916900,Ridker P.M.
a895,57209222891,Rotter J.I.
a896,57215382425,Rudan I.
a897,22136294700,Sabanayagam C.
a898,7004714461,Salomaa V.
a899,57366912700,Schneiderman N.
a900,37665918200,Schöttker B.
a901,57207905262,Sims M.
a902,7006990967,Snieder H.
a903,55196381400,Stark K.J.
a904,56833814500,Stefansson K.
a905,57203553344,Stocker H.
a906,56965303600,Stumvoll M.
a907,8206444500,Sulem P.
a908,55440301700,Sveinbjornsson G.
a909,7103121349,Svensson P.O.
a910,57770356700,Tai E.-S.
a911,57212938461,Taylor K.D.
a912,6506667994,Tayo B.O.
a913,56127747700,Teren A.
a914,57209647799,Tham Y.-C.
